Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample505,India,88.2215,88.2215,36.58,-4.04,-32.6
Sample506,India,88.22071667,88.22071667,36.58,-3.2,-25
Sample507,India,88.11271667,88.11271667,36.58,-3.9,-26
Sample508,India,88.11986667,88.11986667,36.58,-4.45,-31.9
Sample509,Bangladesh,89.15,23.903,36.6,-3,-19.8
Sample510,India,88.0814,24.1911,36.6,-3.33,-21.9
Sample511,Bangladesh,89.8272,23.6031,36.6,-3.4,-23
Sample512,Bangladesh,88.271,24.5908,36.6,-5.7,-43
Sample513,Bangladesh,88.1488,24.6842,36.9,-7,-48
Sample514,India,88.49303,22.74489,37,-3.45,-25.2
Sample515,India,88.633,22.976,37,-6,-38.6
Sample516,India,88.621,22.898,37,-5.3,-35.6
Sample517,India,88.571,22.938,37,-4.9,-33.6
Sample518,India,88.6,23,37,-4.7,-29.3
Sample519,India,88.594,23.017,37,-4.4,-27.8
Sample520,India,88.568,22.913,37,-3.4,-24.4
Sample521,India,88.593,23.018,37,-3.1,-20.8
Sample522,India,88.566,22.934,37,-2.6,-17.8
Sample523,Bangladesh,90.015,23.848,37,-5.8,-40.2
Sample524,Bangladesh,89.996,23.858,37,-2.84,-17
Sample525,Bangladesh,91.136,23.4191,37,-5.01,-32.4
Sample526,Bangladesh,88.672,24.392,37,-4.1,-32
Sample527,Bangladesh,88.989,24.039,37,-5.7,-42
Sample528,Bangladesh,89.872,23.136,37,-6.5,-45
Sample529,Bangladesh,89.868,24.493,37,-3.2,-20
Sample530,Bangladesh,89.51,23.16,37,-4.4,-26
Sample531,India,88.08,24.5,37,-5.2,-36
Sample532,India,88.26943333,88.26943333,37.19,-4.09,-29
Sample533,India,88.564,22.769,37.6,-4.9,-32.69
Sample534,India,88.564,22.792,37.6,-3.38,-23.07
Sample535,Bangladesh,89.125,23.911,38,-4.3,-25
Sample536,Bangladesh,90.53852,23.83674,38.1,-4.84,-29.04
Sample537,Bangladesh,88.3358,24.6706,38.1,-4.2,-31
Sample538,Bangladesh,88.3139,24.6525,38.1,-4.2,-29
Sample539,Bangladesh,88.3217,24.6267,38.1,-3.4,-25
Sample540,Bangladesh,88.358,24.6215,38.1,-3.6,-23
Sample541,India,88.565,22.758,38.2,-5.27,-33.28
Sample542,India,88.446,24.1713,38.4,-4.27,-29.4
Sample543,India,88.563,22.746,38.5,-4.15,-24.8
Sample544,Bangladesh,88.0982,24.7063,38.7,-5.9,-40
Sample545,India,88.580556,23.029639,38.7096,-2.43339288,-15.76900928
Sample546,India,88.563,22.743,39.1,-4.72,-30.72
Sample547,India,88.563,22.745,39.1,-4.51,-29.29
Sample548,India,NA,NA,39.6,-4.62,-28.69
Sample549,India,88.2,24.1866,39.6,-2.94,-21.7
Sample550,India,88.0886,24.1904,39.6,-3.1,-22
Sample551,Bangladesh,88.2594,24.5885,39.6,-6.1,-42
Sample552,Bangladesh,88.3862,24.6162,39.6,-2.9,-22
Sample553,India,88.27021667,88.27021667,39.62,-3.8,-26
Sample554,India,88.2695,88.2695,39.62,-3.1,-22
Sample555,India,88.57451667,23.03166667,39.624,-3.0629593,-21.49007687
Sample556,India,88.49345,22.74305,40,-3.94,-28.8
Sample557,India,88.49282,22.74595,40,-3.94,-26.3
Sample558,India,88.4911,22.74838,40,-2.75,-19.7
Sample559,India,88.48869167,22.74124667,40,-4.31,-29.6
Sample560,India,88.488675,22.74177833,40,-4.17,-26.7
Sample561,India,88.49024167,22.74238333,40,-3.84,-27.4
